episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
95,520.0,458,60891,0.1,0.07948897474265673,235.11789439400002,True,False
96,620.0,627,61518,0.1,0.08463260364736531,237.402301084,True,False
97,1490.0,713,62231,0.1,0.08709232292263612,239.95905492600002,True,False
98,1030.0,868,63099,0.1,0.09258894790564814,242.98627212500003,True,False
99,670.0,541,63640,0.1,0.09103143256952,245.38808526699995,True,False
100,500.0,539,64179,0.1,0.07406699010379501,247.53998234799997,True,False
101,420.0,425,64604,0.1,0.07679170880153358,250.94971549000002,True,False
102,360.0,437,65041,0.1,0.08960432774566729,252.563913125,True,False
103,980.0,780,65821,0.1,0.09135222585919575,255.32257305500002,True,False
104,1010.0,684,66505,0.1,0.08639167535135098,258.235739697,True,False
105,1490.0,768,67273,0.1,0.09462835223530419,261.05374347,True,False
106,400.0,475,67748,0.1,0.087844984918958,262.76294537699994,True,False
107,950.0,757,68505,0.1,0.0864560153266346,265.41004276699994,True,False
108,2470.0,1012,69517,0.1,0.0888907100633523,269.009728481,True,False
109,890.0,675,70192,0.1,0.08172509685357118,272.01896561800004,True,False
110,580.0,518,70710,0.1,0.08210017152361629,273.889453775,True,False
111,410.0,469,71179,0.1,0.08371853428041069,275.60704941099993,True,False
112,450.0,512,71691,0.1,0.08203883864553063,277.48280947599994,True,False
113,490.0,531,72222,0.1,0.08188325798321039,279.397940178,True,False
114,500.0,501,72723,0.1,0.08844386614859104,281.19576329999995,True,False
115,290.0,536,73259,0.1,0.08760486650211152,283.6928934,True,False
116,600.0,765,74024,0.1,0.0927371860476948,286.50105778700004,True,False
117,720.0,891,74915,0.1,0.07112739157972035,289.60870660700004,True,False
118,800.0,729,75644,0.1,0.07933248286873427,292.174467003,True,False
119,370.0,389,76033,0.1,0.07864881889683377,293.625515402,True,False
120,490.0,568,76601,0.1,0.07910828877397826,296.232718086,True,False
121,1250.0,944,77545,0.1,0.08364364896285331,299.73025064599994,True,False
122,470.0,519,78064,0.1,0.08787517023917574,301.593145251,True,False
123,2710.0,856,78920,0.1,0.07812384323861067,304.559489345,True,False
124,1740.0,832,79752,0.1,0.08549064097370809,307.722890139,True,False
125,2370.0,875,80627,0.1,0.08691581291650687,311.263612857,True,False
126,600.0,555,81182,0.1,0.07234203761858905,315.288194073,True,False
127,300.0,469,81651,0.1,0.08726063310208483,316.976165973,True,False
128,460.0,599,82250,0.1,0.08992502878730496,319.11215751199995,True,False
129,640.0,574,82824,0.1,0.0861982690791289,321.73828753199996,True,False
130,560.0,443,83267,0.1,0.07892299813472411,323.40478822700004,True,False
131,980.0,870,84137,0.1,0.09563486312661286,326.411967981,True,False
132,1350.0,592,84729,0.1,0.10255026048351382,328.520854097,True,False
133,890.0,708,85437,0.1,0.10134164109762947,331.05095145199994,True,False
134,460.0,497,85934,0.1,0.10720752263742109,333.146290634,True,False
135,1390.0,647,86581,0.1,0.09812241494885565,335.87968889599995,True,False
136,1150.0,634,87215,0.1,0.10060740610042328,338.14337232699995,True,False
137,750.0,668,87883,0.1,0.09998445609907904,340.53350476799994,True,False
138,880.0,748,88631,0.1,0.09905000098726967,343.19611755200003,True,False
139,510.0,508,89139,0.1,0.11139047110643913,345.18917559700003,True,False
140,420.0,526,89665,0.1,0.09443666181301302,347.620035262,True,False
141,500.0,503,90168,0.1,0.08931044906762148,349.44358207999994,True,False
142,510.0,626,90794,0.1,0.10291129670058115,351.65369351899994,True,False
143,580.0,508,91302,0.1,0.10837916798126979,353.50557843599995,True,False
144,320.0,463,91765,0.1,0.09282025531062792,355.20507309799996,True,False
145,420.0,412,92177,0.1,0.08559203024917436,356.72586512299995,True,False
146,920.0,645,92822,0.1,0.09954764881396885,359.561236967,True,False
147,1000.0,1131,93953,0.1,0.10133050268930598,363.58518475899996,True,False
148,430.0,485,94438,0.1,0.08574069010417078,365.34640774900004,True,False
149,310.0,337,94775,0.1,0.09835673948483807,366.6218764,True,False
150,430.0,441,95216,0.1,0.08772624206838307,368.23433003,True,False
151,630.0,588,95804,0.1,0.09248889738148978,373.798363719,True,False
152,1180.0,885,96689,0.1,0.10447307222636577,376.866624073,True,False
153,960.0,667,97356,0.1,0.09686333015784175,379.227244851,True,False
154,380.0,422,97778,0.1,0.09460037428708304,380.758795779,True,False
155,660.0,492,98270,0.1,0.1024944434563319,382.54392289,True,False
156,1210.0,1092,99362,0.1,0.1085276063872781,386.937257843,True,False
157,520.0,517,99879,0.1,0.10746718339564264,388.78648296899996,True,False
158,2680.0,1194,101073,0.1,0.10074369243367959,392.90918122100004,True,False
159,1170.0,795,101868,0.1,0.09693534802832646,395.88069512000004,True,False
160,400.0,469,102337,0.1,0.0866213948187283,398.161329757,True,False
161,1000.0,629,102966,0.1,0.10115265489739787,400.39827807300003,True,False
162,650.0,495,103461,0.1,0.09180264298113124,402.19084477599995,True,False
163,820.0,733,104194,0.1,0.09119244470500229,404.77147595099996,True,False
164,890.0,767,104961,0.1,0.11098489338473883,407.49986774800004,True,False
165,720.0,732,105693,0.1,0.09591442326725018,410.73385132,True,False
166,390.0,526,106219,0.1,0.10724264184254727,412.612176416,True,False
167,460.0,470,106689,0.1,0.10265443717145313,414.328766075,True,False
168,680.0,747,107436,0.1,0.1080480605204475,416.955237722,True,False
169,510.0,467,107903,0.1,0.09947612817431319,418.687023976,True,False
170,620.0,613,108516,0.1,0.09466700583647986,420.98973231900004,True,False
171,1540.0,903,109419,0.1,0.09865878546817435,424.942359106,True,False
172,690.0,633,110052,0.1,0.09625071695999904,427.207367448,True,False
173,710.0,787,110839,0.1,0.09635529412450838,429.935162298,True,False
174,650.0,669,111508,0.1,0.09251988101528869,432.31806629100004,True,False
175,410.0,447,111955,0.1,0.09848652824524555,434.19434495999997,True,False
176,730.0,890,112845,0.1,0.10820185053141396,439.930773776,True,False
177,590.0,607,113452,0.1,0.10410519038008428,442.097845463,True,False
178,410.0,428,113880,0.1,0.09678390279203375,443.68524242399997,True,False
179,380.0,461,114341,0.1,0.1025661189109087,445.39698170299994,True,False
180,930.0,1052,115393,0.1,0.10702117491414338,449.668024552,True,False
181,310.0,422,115815,0.1,0.09929095407327017,451.21588248700004,True,False
182,1650.0,802,116617,0.1,0.11396735728213295,454.03375243100004,True,False
183,310.0,527,117144,0.1,0.10528447600011008,455.96962393599995,True,False
184,490.0,532,117676,0.1,0.09553190549709518,457.907983875,True,False
185,1310.0,646,118322,0.1,0.1063868868286195,460.679036957,True,False
186,410.0,522,118844,0.1,0.12085545790303527,462.718988276,True,False
187,870.0,637,119481,0.1,0.1116458430722262,464.98771614099996,True,False
188,510.0,544,120025,0.1,0.11326846180428915,466.94491775899996,True,False
189,500.0,541,120566,0.1,0.12231741924252774,468.89762758999996,True,False
190,490.0,435,121001,0.1,0.12573029727187998,470.50837721899995,True,False
191,620.0,604,121605,0.1,0.11118932088392953,473.140060986,True,False
192,390.0,427,122032,0.1,0.11933177382310975,475.001492319,True,False
193,510.0,532,122564,0.1,0.10728611166876062,476.96470141,True,False
194,430.0,456,123020,0.1,0.11068484662590843,478.631497631,True,False
195,300.0,413,123433,0.1,0.1322070911743687,480.138264948,True,False
196,540.0,561,123994,0.1,0.13473447462809937,482.14460893599994,True,False
197,360.0,446,124440,0.1,0.11486361287201621,483.77446637599996,True,False
198,1090.0,836,125276,0.1,0.12239584726009643,487.4117226860001,True,False
199,560.0,569,125845,0.1,0.08845014556993167,489.432641247,True,False
200,620.0,794,126639,0.1,0.10464907630412566,492.210260779,True,False
201,1010.0,651,127290,0.1,0.11501473518077032,496.76455689,True,False
202,260.0,410,127700,0.1,0.11025253392177299,498.83763098400004,True,False
203,480.0,448,128148,0.1,0.0969860235678165,500.53954497199993,True,False
204,590.0,525,128673,0.1,0.10627381837720634,502.411260135,True,False
205,230.0,306,128979,0.1,0.11451666677174599,503.59895445200004,True,False
206,530.0,518,129497,0.1,0.1146165432766653,505.480509449,True,False
207,740.0,458,129955,0.1,0.12069965756841396,507.1776798430001,True,False
208,920.0,741,130696,0.1,0.1171835735340112,510.02519514799997,True,False
209,960.0,711,131407,0.1,0.11826682391729058,513.0019204979999,True,False
210,550.0,613,132020,0.1,0.11912925822007192,515.1821935410001,True,False
211,250.0,398,132418,0.1,0.1471243684057786,516.6576257849999,True,False
212,470.0,415,132833,0.1,0.1314243377508739,518.201517664,True,False
213,350.0,414,133247,0.1,0.10892109350455038,519.7249545479999,True,False
214,1600.0,830,134077,0.1,0.1290838166516131,522.926853297,True,False
215,960.0,633,134710,0.1,0.12934614610681427,525.5841112759999,True,False
216,510.0,406,135116,0.1,0.11624077501177203,527.093524783,True,False
217,580.0,529,135645,0.1,0.12366958683582419,528.973308181,True,False
218,1110.0,734,136379,0.1,0.12600824132032407,531.4890224400001,True,False
219,430.0,522,136901,0.1,0.11578534208664684,533.351341289,True,False
220,430.0,479,137380,0.1,0.12292179147868107,535.3579638819999,True,False
221,450.0,476,137856,0.1,0.1228888775339397,537.5988882029999,True,False
222,910.0,429,138285,0.1,0.12342961828842341,539.211034656,True,False
223,1030.0,650,138935,0.1,0.11792686218280851,541.51878192,True,False
224,720.0,604,139539,0.1,0.11704218171117518,543.6689385029999,True,False
225,300.0,382,139921,0.1,0.11891333822859451,545.081607743,True,False
226,1820.0,963,140884,0.1,0.12857936766323214,550.9765032999999,True,False
227,830.0,550,141434,0.1,0.09948751009511252,552.952839195,True,False
228,270.0,339,141773,0.1,0.11462773327880046,554.2536707500001,True,False
229,1570.0,798,142571,0.1,0.10764357254807673,557.0759780149999,True,False
230,520.0,480,143051,0.1,0.1224000356392935,558.834184031,True,False
231,340.0,509,143560,0.1,0.1284383071033517,561.0257335690001,True,False
232,960.0,731,144291,0.1,0.11788332419326672,564.01398096,True,False
233,970.0,817,145108,0.1,0.10088311496031721,566.8545816129999,True,False
234,770.0,608,145716,0.1,0.09888682369829009,568.9945950219999,True,False
235,310.0,355,146071,0.1,0.10077308703594925,570.345527043,True,False
236,770.0,749,146820,0.1,0.1038118395558063,573.2001104369999,True,False
237,1880.0,1233,148053,0.1,0.09931049295761563,577.9150706789999,True,False
238,530.0,555,148608,0.1,0.09165426759089497,579.8869918319999,True,False
239,450.0,511,149119,0.1,0.09077604179541895,581.6978046720001,True,False
240,1440.0,651,149770,0.1,0.11254153770903137,583.9904604809999,True,False
241,780.0,528,150298,0.1,0.10701847432011907,586.2107491049999,True,False
