episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
73,760.0,778,46508,0.2,0.07169034738475695,174.31828757499989,True,False
74,520.0,461,46969,0.2,0.0682463974489466,175.92426360499985,True,False
75,830.0,680,47649,0.2,0.07666217137456817,178.23821811699963,True,False
76,320.0,407,48056,0.2,0.08369627418726974,181.48172792199966,True,False
77,530.0,529,48585,0.2,0.07956727107309482,184.31107182200003,True,False
78,1170.0,1047,49632,0.2,0.0751564140495567,188.1168729369997,True,False
79,700.0,529,50161,0.2,0.08400885731151159,189.91704206799977,True,False
80,370.0,362,50523,0.2,0.06743400814011694,191.24282478799978,True,False
81,650.0,632,51155,0.2,0.09054510556220348,193.40312159899986,True,False
82,230.0,369,51524,0.2,0.08347773828333424,194.7347795999999,True,False
83,520.0,502,52026,0.2,0.08066030780971051,196.74122493599998,True,False
84,590.0,593,52619,0.2,0.07217739435617586,199.14549939799963,True,False
85,740.0,642,53261,0.2,0.0891754659621612,201.2935868059999,True,False
86,910.0,749,54010,0.2,0.0757018006431626,203.7662795379997,True,False
87,1140.0,994,55004,0.2,0.08037233253544473,207.00964622599986,True,False
88,1050.0,877,55881,0.2,0.07039653890889529,210.4478178309996,True,False
89,610.0,615,56496,0.2,0.06288413907848782,212.62616604799996,True,False
90,1610.0,987,57483,0.2,0.0668153024308868,216.7006530929998,True,False
91,390.0,500,57983,0.2,0.0632661115527153,218.4205395709996,True,False
92,500.0,487,58470,0.2,0.06084391929697795,220.1007172329996,True,False
93,270.0,386,58856,0.2,0.06376687822306586,221.7366698579999,True,False
94,480.0,535,59391,0.2,0.06501613378776867,223.98783391200004,True,False
95,720.0,678,60069,0.2,0.07205109015819343,226.27216127899965,True,False
96,490.0,605,60674,0.2,0.07777218022291234,228.2862597039998,True,False
97,2010.0,649,61323,0.2,0.07402967001644918,230.45698216899973,True,False
98,170.0,308,61631,0.2,0.07306496830439413,231.5641355419998,True,False
99,390.0,481,62112,0.2,0.0935427618659417,233.2200911,True,False
100,510.0,553,62665,0.2,0.0920203460002507,235.66932540499965,True,False
