episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.6104263119996176,True,False
2,460.0,702,1087,0.2,0.025979084788228978,2.008914941999592,True,False
3,430.0,506,1593,0.2,0.027948564559213934,3.794602167999983,True,False
4,1010.0,760,2353,0.2,0.026294031185343077,6.3977417679998325,True,False
5,550.0,503,2856,0.2,0.02422295466720474,8.1502624929999,True,False
6,560.0,488,3344,0.2,0.02791811103935422,9.852772041999742,True,False
7,260.0,336,3680,0.2,0.032429953784837075,11.482028726999943,True,False
8,430.0,529,4209,0.2,0.030881321196581914,13.594773426999836,True,False
9,620.0,479,4688,0.2,0.03267676242782424,15.248919139999998,True,False
10,570.0,740,5428,0.2,0.03553401499646842,17.72078602900001,True,False
11,420.0,695,6123,0.2,0.036693503635375616,20.095564781999656,True,False
12,220.0,455,6578,0.2,0.035260281419348824,21.7141766259997,True,False
13,300.0,420,6998,0.2,0.034022422720279014,23.442492569000024,True,False
14,1300.0,974,7972,0.2,0.037614935033832536,27.14553320799996,True,False
15,630.0,714,8686,0.2,0.037730196688397465,29.55529109700001,True,False
16,350.0,391,9077,0.2,0.03787940241424937,30.97223138499976,True,False
17,440.0,420,9497,0.2,0.040060628617980654,32.50739509899995,True,False
18,590.0,608,10105,0.2,0.03725268701887935,34.63974282599975,True,False
19,830.0,779,10884,0.2,0.04069622100020449,37.873140411999884,True,False
20,1730.0,739,11623,0.2,0.04252825632347199,40.3563479329996,True,False
21,150.0,289,11912,0.2,0.04327673628313901,41.4079916579999,True,False
22,330.0,333,12245,0.2,0.048241933027888276,42.62587626599998,True,False
23,700.0,677,12922,0.2,0.04922352006559717,44.96409470399976,True,False
24,570.0,526,13448,0.2,0.048152583644189166,46.80575829700001,True,False
25,750.0,600,14048,0.2,0.0502848604042083,49.24523376399975,True,False
26,1490.0,829,14877,0.2,0.05255262357754192,54.64981264299968,True,False
27,780.0,676,15553,0.2,0.05055787487054718,56.96110437899961,True,False
28,820.0,780,16333,0.2,0.05647952244617045,59.571428613999615,True,False
29,440.0,562,16895,0.2,0.050620541488751766,61.794564869999704,True,False
30,330.0,453,17348,0.2,0.05230760301479645,64.5716799009997,True,False
31,440.0,508,17856,0.2,0.050616949430014206,66.36699301499993,True,False
32,670.0,613,18469,0.2,0.056313139136904986,68.47877908599958,True,False
33,400.0,516,18985,0.2,0.05838727875244479,70.23877993799988,True,False
34,720.0,535,19520,0.2,0.05439100006539652,72.0841698449999,True,False
35,300.0,456,19976,0.2,0.05629005705071777,73.84680959999969,True,False
36,750.0,611,20587,0.2,0.058449326455286756,76.47147540999958,True,False
37,1640.0,926,21513,0.2,0.06073822367811929,79.64568266999959,True,False
38,570.0,580,22093,0.2,0.05335041939216698,81.69011300199963,True,False
39,680.0,610,22703,0.2,0.053085326244686974,83.8018582159998,True,False
40,640.0,655,23358,0.2,0.05420391125286498,86.13509373099987,True,False
41,470.0,610,23968,0.2,0.05771207281090076,88.84103734999962,True,False
42,580.0,696,24664,0.2,0.051583625170156015,91.22441853700002,True,False
43,1970.0,812,25476,0.2,0.05103444130494823,93.9910505949997,True,False
44,350.0,542,26018,0.2,0.05082753784264679,95.88038064800003,True,False
45,450.0,477,26495,0.2,0.051993597799739916,97.55224287299961,True,False
46,260.0,474,26969,0.2,0.05211844286263114,99.46263190299987,True,False
47,820.0,655,27624,0.2,0.049154920115919286,102.14727327599985,True,False
48,770.0,581,28205,0.2,0.05460759771602421,104.16099821699981,True,False
49,1170.0,884,29089,0.2,0.05713359936144692,107.0805042259999,True,False
50,540.0,587,29676,0.2,0.058327174842116886,109.09719383299989,True,False
51,1070.0,979,30655,0.2,0.05994359407665544,115.06566967399976,True,False
52,270.0,462,31117,0.2,0.06330144463572651,116.68070723999972,True,False
53,210.0,340,31457,0.2,0.06638273149180939,117.89404434699964,True,False
54,680.0,701,32158,0.2,0.06129741672426462,120.279151405,True,False
55,1130.0,634,32792,0.2,0.0705185962266892,122.43911996199995,True,False
56,470.0,518,33310,0.2,0.06736138309965763,124.48907172199961,True,False
57,1020.0,781,34091,0.2,0.0670030439320283,127.62411645799966,True,False
58,490.0,661,34752,0.2,0.06103926523958882,129.90172337899958,True,False
59,740.0,736,35488,0.2,0.06380815112092734,132.39039462799974,True,False
60,830.0,815,36303,0.2,0.06530975670154605,135.11623575899966,True,False
61,220.0,447,36750,0.2,0.06999488717493867,136.8449535249997,True,False
62,270.0,360,37110,0.2,0.07637673314764268,138.6674521599998,True,False
63,480.0,470,37580,0.2,0.06640152563735591,140.4082586339996,True,False
64,250.0,401,37981,0.2,0.07597846847958863,141.83097598599988,True,False
65,1510.0,869,38850,0.2,0.07392405901825236,144.76064288499992,True,False
66,920.0,754,39604,0.2,0.07534866233321803,147.32562977399994,True,False
67,610.0,566,40170,0.2,0.07046398345433863,149.44649188199992,True,False
68,450.0,660,40830,0.2,0.06454381745760188,152.30681698599983,True,False
69,410.0,433,41263,0.2,0.06846414523682108,153.86913117199992,True,False
70,590.0,609,41872,0.2,0.07071804571166343,155.9678863889999,True,False
71,360.0,395,42267,0.2,0.06286316999823463,157.39002053399963,True,False
72,970.0,885,43152,0.2,0.0729708997008332,160.32502553899985,True,False
73,410.0,604,43756,0.2,0.06700914185062445,162.66268566399958,True,False
74,630.0,585,44341,0.2,0.06475082018144734,165.09108555799958,True,False
75,680.0,530,44871,0.2,0.07296843094412576,166.90409632499995,True,False
76,470.0,507,45378,0.2,0.06521384893205222,170.7829947959999,True,False
77,420.0,413,45791,0.2,0.0677195293015068,172.28510956799983,True,False
